country,state,State Name,county,lat,lng,type,measure,beds,population,year,source,source_url
US,AK,Alaska,aleutians east,63.588753,-154.493062,ICU,1000HAB,0,3338,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AK,Alaska,aleutians west,63.588753,-154.493062,ICU,1000HAB,0,5784,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AK,Alaska,anchorage,63.588753,-154.493062,ACUTE,1000HAB,2.182916,298225,2018,arcgis,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Hospitals_1/FeatureServer/0
US,AK,Alaska,anchorage,63.588753,-154.493062,ICU,1000HAB,0.244782,298225,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AK,Alaska,anchorage,63.588753,-154.493062,OTHER,1000HAB,0.191131,298225,2019,arcgis,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Hospitals_1/FeatureServer/0
US,AK,Alaska,anchorage,63.588753,-154.493062,PSYCHIATRIC,1000HAB,0.938888,298225,2018,arcgis,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Hospitals_1/FeatureServer/0
US,AK,Alaska,bethel,63.588753,-154.493062,ICU,1000HAB,2.060478,17957,2018,arcgis,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Hospitals_1/FeatureServer/0
US,AK,Alaska,bristol bay,63.588753,-154.493062,ICU,1000HAB,0,917,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AK,Alaska,denali,63.588753,-154.493062,ICU,1000HAB,0,2303,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AK,Alaska,dillingham,63.588753,-154.493062,ICU,1000HAB,2.814636,4974,2018,arcgis,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Hospitals_1/FeatureServer/0
US,AK,Alaska,fairbanks north star,63.588753,-154.493062,ACUTE,1000HAB,2.169328,100031,2018,arcgis,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Hospitals_1/FeatureServer/0
US,AK,Alaska,fairbanks north star,63.588753,-154.493062,ICU,1000HAB,0.12996,100031,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AK,Alaska,haines,63.588753,-154.493062,ICU,1000HAB,0,2537,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AK,Alaska,hoonah-angoon,63.588753,-154.493062,ICU,1000HAB,0,2146,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AK,Alaska,juneau,63.588753,-154.493062,ACUTE,1000HAB,1.757415,32434,2019,arcgis,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Hospitals_1/FeatureServer/0
US,AK,Alaska,juneau,63.588753,-154.493062,ICU,1000HAB,0.277487,32434,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AK,Alaska,kenai peninsula,63.588753,-154.493062,ACUTE,1000HAB,2.656959,57961,2018,arcgis,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Hospitals_1/FeatureServer/0
